date,department,transaction_type,revenue,expense,net_revenue
2026-02-24,Cardiology,Lab Test,3145.2,2383.28,761.92
2026-02-24,Cardiology,Surgery,4009.24,3001.28,1007.96
2026-02-24,Cardiology,Room Charge,2874.75,1435.52,1439.22
2026-02-24,Cardiology,Room Charge,4522.19,2959.01,1563.18
2026-02-24,Cardiology,Medication,4102.95,3077.15,1025.8
2026-02-24,Cardiology,Surgery,2454.8,1191.73,1263.07
2026-02-24,Cardiology,Room Charge,2996.36,1417.52,1578.85
2026-02-24,Cardiology,Room Charge,2550.88,1934.36,616.52
2026-02-24,Cardiology,Lab Test,998.2,662.73,335.47
2026-02-24,Cardiology,Lab Test,2423.19,790.42,1632.78
2026-02-24,Cardiology,Room Charge,1754.92,669.36,1085.57
2026-02-24,Neurology,Room Charge,813.09,600.72,212.37
2026-02-24,Neurology,Room Charge,2681.11,851.36,1829.75
2026-02-24,Neurology,Consultation,1353.92,480.8,873.12
2026-02-24,Neurology,Consultation,1938.48,1434.24,504.25
2026-02-24,Neurology,Surgery,3797.27,2803.73,993.54
2026-02-24,Neurology,Room Charge,2641.37,1065.71,1575.66
2026-02-24,Neurology,Medication,1534.45,965.68,568.77
2026-02-24,Neurology,Medication,1599.72,890.03,709.69
2026-02-24,Neurology,Lab Test,2029.26,1142.44,886.82
2026-02-24,Neurology,Consultation,1792.63,1299.11,493.52
2026-02-24,Neurology,Surgery,4980.19,3931.25,1048.94
2026-02-24,Neurology,Lab Test,2736.61,1394.15,1342.46
2026-02-24,Neurology,Consultation,4402.64,1949.37,2453.27
2026-02-24,Neurology,Room Charge,1451.67,539.82,911.85
2026-02-24,Neurology,Medication,4138.09,1263.05,2875.04
2026-02-24,Neurology,Consultation,4481.91,2668.73,1813.18
2026-02-24,Neurology,Room Charge,1333.92,470.0,863.92
2026-02-24,Neurology,Surgery,4216.66,2391.04,1825.62
2026-02-24,Orthopedics,Room Charge,3732.25,2178.97,1553.28
2026-02-24,Orthopedics,Room Charge,3780.1,2710.89,1069.21
2026-02-24,Orthopedics,Medication,1488.29,452.93,1035.35
2026-02-24,Orthopedics,Medication,3611.53,2086.07,1525.46
2026-02-24,Orthopedics,Lab Test,2652.62,1777.42,875.2
2026-02-24,Orthopedics,Consultation,2277.55,1425.97,851.58
2026-02-24,Orthopedics,Lab Test,2993.0,2031.65,961.34
2026-02-24,Orthopedics,Room Charge,2534.87,865.88,1669.0
2026-02-24,Orthopedics,Lab Test,3133.97,1155.18,1978.79
2026-02-24,Orthopedics,Medication,3632.63,2144.07,1488.56
2026-02-24,Orthopedics,Medication,3091.53,2337.05,754.48
2026-02-24,Orthopedics,Consultation,1594.86,1182.64,412.22
2026-02-24,Orthopedics,Lab Test,1657.21,557.12,1100.09
2026-02-24,Orthopedics,Medication,1065.26,484.23,581.03
2026-02-24,Orthopedics,Lab Test,4365.37,2156.12,2209.26
2026-02-24,General,Room Charge,4811.25,3408.5,1402.75
2026-02-24,General,Surgery,2756.11,1251.77,1504.33
2026-02-24,General,Consultation,3756.05,2382.65,1373.4
2026-02-24,General,Surgery,1005.18,301.64,703.53
2026-02-24,General,Medication,2022.61,1567.32,455.29
2026-02-24,General,Surgery,4137.69,2555.48,1582.21
2026-02-24,Emergency,Surgery,2329.6,1797.92,531.68
2026-02-24,Emergency,Room Charge,1223.67,937.57,286.1
2026-02-24,Emergency,Lab Test,4152.63,2243.66,1908.98
2026-02-24,Emergency,Surgery,4613.75,1603.1,3010.65
2026-02-24,Emergency,Surgery,587.14,293.71,293.43
2026-02-24,Emergency,Room Charge,1839.62,796.73,1042.89
2026-02-24,Emergency,Lab Test,2579.32,1524.58,1054.75
2026-02-24,Emergency,Medication,4671.8,3518.91,1152.89
2026-02-24,Emergency,Medication,1616.02,541.44,1074.58
2026-02-24,Emergency,Surgery,4423.3,2920.87,1502.42
2026-02-24,Emergency,Medication,980.95,549.01,431.94
2026-02-24,Emergency,Medication,1070.88,767.56,303.33
2026-02-24,Emergency,Consultation,1332.21,435.15,897.06
2026-02-24,Emergency,Room Charge,2757.98,1099.86,1658.12
2026-02-24,Emergency,Medication,3928.59,1857.02,2071.58
2026-02-24,Emergency,Room Charge,2837.19,882.69,1954.5
2026-02-24,Emergency,Medication,4698.63,3019.09,1679.54
2026-02-24,Oncology,Lab Test,4302.03,3414.47,887.56
2026-02-24,Oncology,Medication,2405.59,933.28,1472.31
2026-02-24,Oncology,Medication,4827.96,2417.36,2410.61
2026-02-24,Oncology,Consultation,3730.82,2854.31,876.51
