date,item_name,current_stock,consumed,expired,expiring_soon,stock_value
2026-02-24,Paracetamol,257,6,0,0,88003.51
2026-02-24,Amoxicillin,2285,62,0,317,578140.97
2026-02-24,Insulin,2806,224,0,0,1080229.16
2026-02-24,Antibiotics,4667,273,0,0,1319638.21
2026-02-24,IV Fluids,3444,87,0,0,993374.79
2026-02-24,Syringes,1291,79,0,0,74834.76
2026-02-24,Bandages,4283,145,0,0,1844614.91
2026-02-24,O2 Cylinders,4184,273,0,0,1002276.95
2026-02-25,Paracetamol,4809,323,0,0,1963889.34
2026-02-25,Amoxicillin,2227,134,0,0,987844.39
2026-02-25,Insulin,3036,121,0,0,868114.94
2026-02-25,Antibiotics,3611,189,0,0,865563.19
2026-02-25,IV Fluids,4448,340,0,0,1845101.54
2026-02-25,Syringes,3946,205,0,0,338083.19
2026-02-25,Bandages,2168,42,0,0,73119.35
2026-02-25,O2 Cylinders,4154,58,0,0,1605435.87
2026-02-26,Paracetamol,964,49,0,183,416067.63
2026-02-26,Amoxicillin,3814,289,0,0,92004.05
2026-02-26,Insulin,4718,132,0,0,1176520.53
2026-02-26,Antibiotics,2508,205,0,0,546959.44
2026-02-26,IV Fluids,4634,358,0,0,1637960.09
2026-02-26,Syringes,1496,54,0,0,637906.93
2026-02-26,Bandages,1823,158,0,0,77416.69
2026-02-26,O2 Cylinders,3953,151,0,0,662739.74
2026-02-27,Paracetamol,109,1,0,0,30857.46
2026-02-27,Amoxicillin,3363,87,0,0,819467.12
2026-02-27,Insulin,491,43,0,0,8181.12
2026-02-27,Antibiotics,2310,58,0,0,446688.85
2026-02-27,IV Fluids,1985,137,0,0,137711.47
2026-02-27,Syringes,2386,208,0,0,635436.09
2026-02-27,Bandages,911,78,0,0,182636.87
2026-02-27,O2 Cylinders,2411,219,0,0,1153980.4
2026-02-28,Paracetamol,3966,245,0,0,1728689.17
2026-02-28,Amoxicillin,2565,200,0,0,589402.51
2026-02-28,Insulin,4848,165,284,0,2405036.78
2026-02-28,Antibiotics,3551,308,0,0,789829.88
2026-02-28,IV Fluids,1642,35,0,0,124618.62
