date,department,total_beds,occupied_beds,critical_alerts,staff_on_duty
2026-02-24,Cardiology,100,41,1,16
2026-02-24,Neurology,100,47,3,16
2026-02-24,Orthopedics,100,92,1,28
2026-02-24,General,100,68,4,23
2026-02-24,Emergency,100,80,4,11
2026-02-25,Cardiology,100,48,4,28
2026-02-25,Neurology,100,54,0,21
2026-02-25,Orthopedics,100,45,4,28
2026-02-25,General,100,66,4,15
2026-02-25,Emergency,100,64,2,28
2026-02-26,Cardiology,100,84,3,27
2026-02-26,Neurology,100,69,0,21
2026-02-26,Orthopedics,100,54,3,23
2026-02-26,General,100,74,0,12
2026-02-26,Emergency,100,93,1,15
2026-02-27,Cardiology,100,91,0,18
2026-02-27,Neurology,100,59,1,29
2026-02-27,Orthopedics,100,88,4,15
2026-02-27,General,100,84,3,27
2026-02-27,Emergency,100,53,4,21
2026-02-28,Cardiology,100,69,3,19
2026-02-28,Neurology,100,49,4,27
2026-02-28,Orthopedics,100,81,2,21
2026-02-28,General,100,40,3,19
2026-02-28,Emergency,100,80,4,15
2026-03-01,Cardiology,100,77,2,28
2026-03-01,Neurology,100,82,2,11
2026-03-01,Orthopedics,100,51,4,13
2026-03-01,General,100,67,1,25
2026-03-01,Emergency,100,47,2,14
2026-03-02,Cardiology,100,92,2,28
2026-03-02,Neurology,100,43,0,14
2026-03-02,Orthopedics,100,41,4,25
2026-03-02,General,100,60,0,20
2026-03-02,Emergency,100,62,2,13
2026-03-03,Cardiology,100,61,2,15
2026-03-03,Neurology,100,60,2,16
2026-03-03,Orthopedics,100,85,0,27
2026-03-03,General,100,49,3,29
2026-03-03,Emergency,100,41,1,27
2026-03-04,Cardiology,100,59,3,22
2026-03-04,Neurology,100,79,4,25
2026-03-04,Orthopedics,100,91,2,27
2026-03-04,General,100,77,0,17
2026-03-04,Emergency,100,79,0,20
2026-03-05,Cardiology,100,68,0,20
2026-03-05,Neurology,100,58,4,23
2026-03-05,Orthopedics,100,40,2,23
2026-03-05,General,100,76,3,19
2026-03-05,Emergency,100,70,0,24
2026-03-06,Cardiology,100,84,0,28
2026-03-06,Neurology,100,49,3,21
2026-03-06,Orthopedics,100,82,3,23
2026-03-06,General,100,59,1,19
2026-03-06,Emergency,100,48,2,20
2026-03-07,Cardiology,100,72,1,16
2026-03-07,Neurology,100,57,1,12
2026-03-07,Orthopedics,100,47,4,23
2026-03-07,General,100,50,0,29
2026-03-07,Emergency,100,48,0,21
2026-03-08,Cardiology,100,73,3,17
2026-03-08,Neurology,100,91,3,16
2026-03-08,Orthopedics,100,50,3,16
2026-03-08,General,100,51,1,21
2026-03-08,Emergency,100,88,2,22
2026-03-09,Cardiology,100,44,4,21
2026-03-09,Neurology,100,57,4,24
2026-03-09,Orthopedics,100,60,4,15
2026-03-09,General,100,50,1,18
2026-03-09,Emergency,100,74,3,11
2026-03-10,Cardiology,100,67,4,22
2026-03-10,Neurology,100,42,1,11
2026-03-10,Orthopedics,100,50,4,18
2026-03-10,General,100,70,1,10
2026-03-10,Emergency,100,41,3,21
2026-03-11,Cardiology,100,46,2,19
2026-03-11,Neurology,100,42,2,24
2026-03-11,Orthopedics,100,77,1,15
2026-03-11,General,100,83,2,22
2026-03-11,Emergency,100,89,1,21
2026-03-12,Cardiology,100,73,0,21
2026-03-12,Neurology,100,53,2,19
2026-03-12,Orthopedics,100,61,2,28
2026-03-12,General,100,84,2,23
2026-03-12,Emergency,100,73,2,14
2026-03-13,Cardiology,100,42,1,14
2026-03-13,Neurology,100,61,3,22
2026-03-13,Orthopedics,100,74,0,20
2026-03-13,General,100,46,2,22
2026-03-13,Emergency,100,78,4,25
2026-03-14,Cardiology,100,94,3,17
2026-03-14,Neurology,100,59,1,28
2026-03-14,Orthopedics,100,91,2,21
2026-03-14,General,100,70,2,19
2026-03-14,Emergency,100,61,2,21
2026-03-15,Cardiology,100,48,1,11
2026-03-15,Neurology,100,82,0,27
2026-03-15,Orthopedics,100,90,1,25
2026-03-15,General,100,51,0,15
2026-03-15,Emergency,100,93,1,10
2026-03-16,Cardiology,100,83,4,29
2026-03-16,Neurology,100,77,2,29
2026-03-16,Orthopedics,100,82,2,27
2026-03-16,General,100,85,3,12
2026-03-16,Emergency,100,54,3,29
2026-03-17,Cardiology,100,60,0,10
2026-03-17,Neurology,100,90,4,29
2026-03-17,Orthopedics,100,51,4,13
2026-03-17,General,100,64,3,11
2026-03-17,Emergency,100,56,3,11
2026-03-18,Cardiology,100,56,1,14
2026-03-18,Neurology,100,42,4,28
2026-03-18,Orthopedics,100,69,2,25
2026-03-18,General,100,46,4,10
2026-03-18,Emergency,100,60,4,23
2026-03-19,Cardiology,100,71,3,27
2026-03-19,Neurology,100,68,0,15
2026-03-19,Orthopedics,100,90,3,14
2026-03-19,General,100,54,2,22
2026-03-19,Emergency,100,47,0,28
2026-03-20,Cardiology,100,86,1,24
2026-03-20,Neurology,100,84,4,12
2026-03-20,Orthopedics,100,53,1,16
2026-03-20,General,100,46,1,17
2026-03-20,Emergency,100,74,0,21
2026-03-21,Cardiology,100,74,3,14
2026-03-21,Neurology,100,64,1,27
2026-03-21,Orthopedics,100,83,2,20
2026-03-21,General,100,72,3,26
2026-03-21,Emergency,100,43,4,21
2026-03-22,Cardiology,100,93,1,26
2026-03-22,Neurology,100,43,4,25
2026-03-22,Orthopedics,100,72,1,12
2026-03-22,General,100,94,1,17
2026-03-22,Emergency,100,86,4,13
2026-03-23,Cardiology,100,69,4,29
2026-03-23,Neurology,100,84,3,26
2026-03-23,Orthopedics,100,47,2,20
2026-03-23,General,100,93,3,28
2026-03-23,Emergency,100,53,3,24
2026-03-24,Cardiology,100,56,0,17
2026-03-24,Neurology,100,42,0,26
2026-03-24,Orthopedics,100,89,3,20
2026-03-24,General,100,61,1,17
2026-03-24,Emergency,100,91,0,20
2026-03-25,Cardiology,100,74,3,20
2026-03-25,Neurology,100,65,2,21
2026-03-25,Orthopedics,100,55,0,28
2026-03-25,General,100,50,1,23
2026-03-25,Emergency,100,75,3,15
2026-03-26,Cardiology,100,71,1,10
2026-03-26,Neurology,100,77,3,12
2026-03-26,Orthopedics,100,59,2,18
2026-03-26,General,100,41,2,10
2026-03-26,Emergency,100,47,4,19
2026-03-27,Cardiology,100,75,3,10
2026-03-27,Neurology,100,91,3,21
2026-03-27,Orthopedics,100,56,2,15
2026-03-27,General,100,46,0,22
