date,total_beds,occupied_beds,occupancy_rate
2025-08-23,500,326,0.652
2025-08-24,500,375,0.75
2025-08-25,500,391,0.782
2025-08-26,500,321,0.642
2025-08-27,500,297,0.594
2025-08-28,500,365,0.73
2025-08-29,500,395,0.79
2025-08-30,500,334,0.668
2025-08-31,500,308,0.616
2025-09-01,500,375,0.75
2025-09-02,500,285,0.57
2025-09-03,500,383,0.766
2025-09-04,500,320,0.64
2025-09-05,500,312,0.624
2025-09-06,500,335,0.67
2025-09-07,500,318,0.636
2025-09-08,500,311,0.622
2025-09-09,500,360,0.72
2025-09-10,500,367,0.734
2025-09-11,500,319,0.638
2025-09-12,500,362,0.724
2025-09-13,500,392,0.784
2025-09-14,500,341,0.682
2025-09-15,500,317,0.634
2025-09-16,500,356,0.712
2025-09-17,500,355,0.71
2025-09-18,500,372,0.744
2025-09-19,500,339,0.678
2025-09-20,500,404,0.808
2025-09-21,500,329,0.658
2025-09-22,500,391,0.782
2025-09-23,500,315,0.63
2025-09-24,500,333,0.666
2025-09-25,500,390,0.78
2025-09-26,500,290,0.58
2025-09-27,500,390,0.78
2025-09-28,500,390,0.78
2025-09-29,500,389,0.778
2025-09-30,500,394,0.788
2025-10-01,500,340,0.68
2025-10-02,500,397,0.794
2025-10-03,500,314,0.628
2025-10-04,500,364,0.728
2025-10-05,500,408,0.816
2025-10-06,500,371,0.742
2025-10-07,500,355,0.71
2025-10-08,500,313,0.626
2025-10-09,500,397,0.794
2025-10-10,500,313,0.626
2025-10-11,500,340,0.68
2025-10-12,500,359,0.718
2025-10-13,500,395,0.79
2025-10-14,500,342,0.684
2025-10-15,500,398,0.796
2025-10-16,500,383,0.766
2025-10-17,500,348,0.696
2025-10-18,500,367,0.734
2025-10-19,500,288,0.576
2025-10-20,500,375,0.75
2025-10-21,500,366,0.732
2025-10-22,500,339,0.678
2025-10-23,500,390,0.78
2025-10-24,500,399,0.798
2025-10-25,500,317,0.634
2025-10-26,500,335,0.67
2025-10-27,500,373,0.746
2025-10-28,500,308,0.616
2025-10-29,500,350,0.7
2025-10-30,500,290,0.58
2025-10-31,500,385,0.77
2025-11-01,500,415,0.83
2025-11-02,500,433,0.866
2025-11-03,500,473,0.946
2025-11-04,500,426,0.852
2025-11-05,500,385,0.77
2025-11-06,500,436,0.872
2025-11-07,500,438,0.876
2025-11-08,500,386,0.772
2025-11-09,500,443,0.886
2025-11-10,500,370,0.74
2025-11-11,500,459,0.918
2025-11-12,500,366,0.732
2025-11-13,500,362,0.724
2025-11-14,500,372,0.744
2025-11-15,500,358,0.716
2025-11-16,500,420,0.84
2025-11-17,500,433,0.866
2025-11-18,500,446,0.892
2025-11-19,500,460,0.92
2025-11-20,500,383,0.766
2025-11-21,500,391,0.782
2025-11-22,500,460,0.92
2025-11-23,500,389,0.778
2025-11-24,500,432,0.864
2025-11-25,500,487,0.974
2025-11-26,500,411,0.822
2025-11-27,500,459,0.918
2025-11-28,500,388,0.776
2025-11-29,500,379,0.758
2025-11-30,500,377,0.754
2025-12-01,500,416,0.832
2025-12-02,500,443,0.886
2025-12-03,500,385,0.77
2025-12-04,500,371,0.742
2025-12-05,500,379,0.758
2025-12-06,500,363,0.726
2025-12-07,500,400,0.8
2025-12-08,500,473,0.946
2025-12-09,500,387,0.774
2025-12-10,500,387,0.774
2025-12-11,500,427,0.854
2025-12-12,500,357,0.714
2025-12-13,500,402,0.804
2025-12-14,500,410,0.82
2025-12-15,500,464,0.928
2025-12-16,500,383,0.766
2025-12-17,500,455,0.91
2025-12-18,500,463,0.926
2025-12-19,500,468,0.936
2025-12-20,500,347,0.694
2025-12-21,500,389,0.778
2025-12-22,500,495,0.99
2025-12-23,500,443,0.886
2025-12-24,500,494,0.988
2025-12-25,500,363,0.726
2025-12-26,500,404,0.808
2025-12-27,500,374,0.748
2025-12-28,500,361,0.722
2025-12-29,500,430,0.86
2025-12-30,500,449,0.898
2025-12-31,500,397,0.794
2026-01-01,500,480,0.96
2026-01-02,500,383,0.766
2026-01-03,500,371,0.742
2026-01-04,500,464,0.928
2026-01-05,500,406,0.812
2026-01-06,500,422,0.844
2026-01-07,500,454,0.908
2026-01-08,500,404,0.808
2026-01-09,500,446,0.892
2026-01-10,500,423,0.846
2026-01-11,500,355,0.71
2026-01-12,500,476,0.952
2026-01-13,500,449,0.898
2026-01-14,500,469,0.938
2026-01-15,500,380,0.76
2026-01-16,500,422,0.844
2026-01-17,500,383,0.766
2026-01-18,500,449,0.898
2026-01-19,500,438,0.876
2026-01-20,500,432,0.864
2026-01-21,500,461,0.922
2026-01-22,500,462,0.924
2026-01-23,500,481,0.962
2026-01-24,500,419,0.838
2026-01-25,500,449,0.898
2026-01-26,500,435,0.87
2026-01-27,500,415,0.83
2026-01-28,500,454,0.908
2026-01-29,500,421,0.842
2026-01-30,500,385,0.77
2026-01-31,500,382,0.764
2026-02-01,500,456,0.912
2026-02-02,500,454,0.908
2026-02-03,500,430,0.86
2026-02-04,500,410,0.82
2026-02-05,500,444,0.888
2026-02-06,500,461,0.922
2026-02-07,500,406,0.812
2026-02-08,500,474,0.948
2026-02-09,500,454,0.908
2026-02-10,500,411,0.822
2026-02-11,500,459,0.918
2026-02-12,500,355,0.71
2026-02-13,500,358,0.716
2026-02-14,500,391,0.782
2026-02-15,500,417,0.834
2026-02-16,500,415,0.83
2026-02-17,500,467,0.934
2026-02-18,500,403,0.806
2026-02-19,500,377,0.754
2026-02-20,500,419,0.838
2026-02-21,500,362,0.724
2026-02-22,500,379,0.758
2026-02-23,500,365,0.73
2026-02-24,500,435,0.87
2026-02-25,500,467,0.934
2026-02-26,500,389,0.778
2026-02-27,500,402,0.804
2026-02-28,500,430,0.86
2026-03-01,500,301,0.602
2026-03-02,500,364,0.728
2026-03-03,500,397,0.794
2026-03-04,500,284,0.568
2026-03-05,500,404,0.808
2026-03-06,500,364,0.728
2026-03-07,500,355,0.71
2026-03-08,500,285,0.57
2026-03-09,500,374,0.748
2026-03-10,500,325,0.65
2026-03-11,500,339,0.678
2026-03-12,500,329,0.658
2026-03-13,500,321,0.642
2026-03-14,500,349,0.698
2026-03-15,500,398,0.796
2026-03-16,500,330,0.66
2026-03-17,500,355,0.71
2026-03-18,500,316,0.632
2026-03-19,500,392,0.784
2026-03-20,500,342,0.684
2026-03-21,500,331,0.662
2026-03-22,500,381,0.762
2026-03-23,500,378,0.756
2026-03-24,500,374,0.748
2026-03-25,500,321,0.642
2026-03-26,500,350,0.7
2026-03-27,500,319,0.638
2026-03-28,500,335,0.67
2026-03-29,500,409,0.818
2026-03-30,500,340,0.68
2026-03-31,500,370,0.74
2026-04-01,500,390,0.78
2026-04-02,500,311,0.622
2026-04-03,500,360,0.72
2026-04-04,500,340,0.68
2026-04-05,500,373,0.746
2026-04-06,500,367,0.734
2026-04-07,500,354,0.708
2026-04-08,500,393,0.786
2026-04-09,500,372,0.744
2026-04-10,500,344,0.688
2026-04-11,500,320,0.64
2026-04-12,500,355,0.71
2026-04-13,500,359,0.718
2026-04-14,500,324,0.648
2026-04-15,500,388,0.776
2026-04-16,500,381,0.762
2026-04-17,500,354,0.708
2026-04-18,500,389,0.778
2026-04-19,500,330,0.66
2026-04-20,500,355,0.71
2026-04-21,500,386,0.772
2026-04-22,500,342,0.684
2026-04-23,500,319,0.638
2026-04-24,500,330,0.66
2026-04-25,500,395,0.79
2026-04-26,500,328,0.656
2026-04-27,500,331,0.662
2026-04-28,500,358,0.716
2026-04-29,500,315,0.63
2026-04-30,500,363,0.726
2026-05-01,500,301,0.602
2026-05-02,500,322,0.644
2026-05-03,500,341,0.682
2026-05-04,500,342,0.684
2026-05-05,500,294,0.588
2026-05-06,500,347,0.694
2026-05-07,500,356,0.712
2026-05-08,500,301,0.602
2026-05-09,500,330,0.66
2026-05-10,500,317,0.634
2026-05-11,500,384,0.768
2026-05-12,500,329,0.658
2026-05-13,500,306,0.612
2026-05-14,500,329,0.658
2026-05-15,500,399,0.798
2026-05-16,500,361,0.722
2026-05-17,500,399,0.798
2026-05-18,500,317,0.634
2026-05-19,500,403,0.806
2026-05-20,500,330,0.66
2026-05-21,500,376,0.752
2026-05-22,500,313,0.626
2026-05-23,500,358,0.716
2026-05-24,500,339,0.678
2026-05-25,500,373,0.746
2026-05-26,500,357,0.714
2026-05-27,500,300,0.6
2026-05-28,500,324,0.648
2026-05-29,500,330,0.66
2026-05-30,500,333,0.666
2026-05-31,500,392,0.784
