date,medicine_name,opening_stock,consumed,received,closing_stock
2025-08-23,Paracetamol,1642,85,0,1557
2025-08-23,Amoxicillin,1955,126,0,1829
2025-08-23,Insulin,1388,85,0,1303
2025-08-23,Antibiotics,1374,148,0,1226
2025-08-23,IV Fluids,1880,81,0,1799
2025-08-24,Paracetamol,1557,84,0,1473
2025-08-24,Amoxicillin,1829,43,0,1786
2025-08-24,Insulin,1303,63,0,1240
2025-08-24,Antibiotics,1226,137,0,1089
2025-08-24,IV Fluids,1799,64,0,1735
2025-08-25,Paracetamol,1473,64,0,1409
2025-08-25,Amoxicillin,1786,99,0,1687
2025-08-25,Insulin,1240,111,0,1129
2025-08-25,Antibiotics,1089,51,0,1038
2025-08-25,IV Fluids,1735,106,0,1629
2025-08-26,Paracetamol,1409,100,0,1309
2025-08-26,Amoxicillin,1687,82,0,1605
2025-08-26,Insulin,1129,116,0,1013
2025-08-26,Antibiotics,1038,59,0,979
2025-08-26,IV Fluids,1629,36,0,1593
2025-08-27,Paracetamol,1309,130,0,1179
2025-08-27,Amoxicillin,1605,53,0,1552
2025-08-27,Insulin,1013,142,0,871
2025-08-27,Antibiotics,979,121,0,858
2025-08-27,IV Fluids,1593,91,0,1502
2025-08-28,Paracetamol,1179,100,0,1079
2025-08-28,Amoxicillin,1552,80,0,1472
2025-08-28,Insulin,871,24,0,847
2025-08-28,Antibiotics,858,122,0,736
2025-08-28,IV Fluids,1502,34,0,1468
2025-08-29,Paracetamol,1079,115,0,964
2025-08-29,Amoxicillin,1472,148,0,1324
2025-08-29,Insulin,847,35,0,812
2025-08-29,Antibiotics,736,100,0,636
2025-08-29,IV Fluids,1468,44,0,1424
2025-08-30,Paracetamol,964,88,0,876
2025-08-30,Amoxicillin,1324,121,0,1203
2025-08-30,Insulin,812,62,0,750
2025-08-30,Antibiotics,636,20,0,616
2025-08-30,IV Fluids,1424,137,0,1287
2025-08-31,Paracetamol,876,130,0,746
2025-08-31,Amoxicillin,1203,108,0,1095
2025-08-31,Insulin,750,72,0,678
2025-08-31,Antibiotics,616,87,0,529
2025-08-31,IV Fluids,1287,119,0,1168
2025-09-01,Paracetamol,746,21,0,725
2025-09-01,Amoxicillin,1095,66,0,1029
2025-09-01,Insulin,678,51,0,627
2025-09-01,Antibiotics,529,119,0,410
2025-09-01,IV Fluids,1168,140,0,1028
2025-09-02,Paracetamol,725,95,0,630
2025-09-02,Amoxicillin,1029,80,0,949
2025-09-02,Insulin,627,71,0,556
2025-09-02,Antibiotics,410,102,0,308
2025-09-02,IV Fluids,1028,112,0,916
2025-09-03,Paracetamol,630,55,0,575
2025-09-03,Amoxicillin,949,29,0,920
2025-09-03,Insulin,556,22,0,534
2025-09-03,Antibiotics,308,54,1318,1572
2025-09-03,IV Fluids,916,22,0,894
2025-09-04,Paracetamol,575,84,0,491
2025-09-04,Amoxicillin,920,83,0,837
2025-09-04,Insulin,534,135,0,399
2025-09-04,Antibiotics,1572,96,0,1476
2025-09-04,IV Fluids,894,51,0,843
2025-09-05,Paracetamol,491,39,0,452
2025-09-05,Amoxicillin,837,64,0,773
2025-09-05,Insulin,399,75,0,324
2025-09-05,Antibiotics,1476,64,0,1412
2025-09-05,IV Fluids,843,72,0,771
2025-09-06,Paracetamol,452,126,0,326
2025-09-06,Amoxicillin,773,78,0,695
2025-09-06,Insulin,324,78,1206,1452
2025-09-06,Antibiotics,1412,36,0,1376
2025-09-06,IV Fluids,771,147,0,624
2025-09-07,Paracetamol,326,67,1938,2197
2025-09-07,Amoxicillin,695,49,0,646
2025-09-07,Insulin,1452,140,0,1312
2025-09-07,Antibiotics,1376,114,0,1262
2025-09-07,IV Fluids,624,72,0,552
2025-09-08,Paracetamol,2197,85,0,2112
2025-09-08,Amoxicillin,646,139,0,507
2025-09-08,Insulin,1312,92,0,1220
2025-09-08,Antibiotics,1262,74,0,1188
2025-09-08,IV Fluids,552,115,0,437
2025-09-09,Paracetamol,2112,125,0,1987
2025-09-09,Amoxicillin,507,106,0,401
2025-09-09,Insulin,1220,101,0,1119
2025-09-09,Antibiotics,1188,78,0,1110
2025-09-09,IV Fluids,437,107,0,330
2025-09-10,Paracetamol,1987,51,0,1936
2025-09-10,Amoxicillin,401,103,1259,1557
2025-09-10,Insulin,1119,148,0,971
2025-09-10,Antibiotics,1110,117,0,993
2025-09-10,IV Fluids,330,37,1713,2006
2025-09-11,Paracetamol,1936,111,0,1825
2025-09-11,Amoxicillin,1557,94,0,1463
2025-09-11,Insulin,971,27,0,944
2025-09-11,Antibiotics,993,58,0,935
2025-09-11,IV Fluids,2006,142,0,1864
2025-09-12,Paracetamol,1825,124,0,1701
2025-09-12,Amoxicillin,1463,59,0,1404
2025-09-12,Insulin,944,41,0,903
2025-09-12,Antibiotics,935,144,0,791
2025-09-12,IV Fluids,1864,68,0,1796
2025-09-13,Paracetamol,1701,50,0,1651
2025-09-13,Amoxicillin,1404,146,0,1258
2025-09-13,Insulin,903,36,0,867
2025-09-13,Antibiotics,791,55,0,736
2025-09-13,IV Fluids,1796,95,0,1701
2025-09-14,Paracetamol,1651,61,0,1590
2025-09-14,Amoxicillin,1258,122,0,1136
2025-09-14,Insulin,867,111,0,756
2025-09-14,Antibiotics,736,93,0,643
2025-09-14,IV Fluids,1701,37,0,1664
2025-09-15,Paracetamol,1590,89,0,1501
2025-09-15,Amoxicillin,1136,141,0,995
2025-09-15,Insulin,756,105,0,651
2025-09-15,Antibiotics,643,59,0,584
2025-09-15,IV Fluids,1664,40,0,1624
2025-09-16,Paracetamol,1501,127,0,1374
2025-09-16,Amoxicillin,995,69,0,926
2025-09-16,Insulin,651,66,0,585
2025-09-16,Antibiotics,584,52,0,532
2025-09-16,IV Fluids,1624,123,0,1501
2025-09-17,Paracetamol,1374,55,0,1319
2025-09-17,Amoxicillin,926,93,0,833
2025-09-17,Insulin,585,149,0,436
2025-09-17,Antibiotics,532,129,0,403
2025-09-17,IV Fluids,1501,91,0,1410
2025-09-18,Paracetamol,1319,85,0,1234
2025-09-18,Amoxicillin,833,39,0,794
2025-09-18,Insulin,436,133,0,303
2025-09-18,Antibiotics,403,143,1065,1325
2025-09-18,IV Fluids,1410,60,0,1350
2025-09-19,Paracetamol,1234,27,0,1207
2025-09-19,Amoxicillin,794,40,0,754
2025-09-19,Insulin,303,54,1262,1511
2025-09-19,Antibiotics,1325,146,0,1179
2025-09-19,IV Fluids,1350,34,0,1316
2025-09-20,Paracetamol,1207,128,0,1079
2025-09-20,Amoxicillin,754,122,0,632
2025-09-20,Insulin,1511,45,0,1466
2025-09-20,Antibiotics,1179,122,0,1057
2025-09-20,IV Fluids,1316,37,0,1279
2025-09-21,Paracetamol,1079,29,0,1050
2025-09-21,Amoxicillin,632,25,0,607
2025-09-21,Insulin,1466,74,0,1392
2025-09-21,Antibiotics,1057,79,0,978
2025-09-21,IV Fluids,1279,102,0,1177
2025-09-22,Paracetamol,1050,67,0,983
2025-09-22,Amoxicillin,607,125,0,482
2025-09-22,Insulin,1392,65,0,1327
2025-09-22,Antibiotics,978,142,0,836
