date,medicine_name,quantity_used,department
2025-08-23,Paracetamol,36,General
2025-08-23,Paracetamol,49,Emergency
2025-08-23,Paracetamol,88,ICU
2025-08-23,Amoxicillin,109,General
2025-08-23,Amoxicillin,100,Emergency
2025-08-23,Amoxicillin,44,ICU
2025-08-23,Insulin,47,General
2025-08-23,Insulin,68,Emergency
2025-08-23,Insulin,67,ICU
2025-08-23,Antibiotics,52,General
2025-08-23,Antibiotics,17,Emergency
2025-08-23,Antibiotics,87,ICU
2025-08-23,IV Fluids,27,General
2025-08-23,IV Fluids,124,Emergency
2025-08-23,IV Fluids,36,ICU
2025-08-24,Paracetamol,22,General
2025-08-24,Paracetamol,70,Emergency
2025-08-24,Paracetamol,69,ICU
2025-08-24,Amoxicillin,14,General
2025-08-24,Amoxicillin,87,Emergency
2025-08-24,Amoxicillin,75,ICU
2025-08-24,Insulin,22,General
2025-08-24,Insulin,109,Emergency
2025-08-24,Insulin,41,ICU
2025-08-24,Antibiotics,89,General
2025-08-24,Antibiotics,34,Emergency
2025-08-24,Antibiotics,67,ICU
2025-08-24,IV Fluids,78,General
2025-08-24,IV Fluids,83,Emergency
2025-08-24,IV Fluids,29,ICU
2025-08-25,Paracetamol,83,General
2025-08-25,Paracetamol,66,Emergency
2025-08-25,Paracetamol,55,ICU
2025-08-25,Amoxicillin,90,General
2025-08-25,Amoxicillin,32,Emergency
2025-08-25,Amoxicillin,85,ICU
2025-08-25,Insulin,72,General
2025-08-25,Insulin,80,Emergency
2025-08-25,Insulin,44,ICU
2025-08-25,Antibiotics,85,General
2025-08-25,Antibiotics,27,Emergency
2025-08-25,Antibiotics,62,ICU
2025-08-25,IV Fluids,14,General
2025-08-25,IV Fluids,88,Emergency
2025-08-25,IV Fluids,88,ICU
2025-08-26,Paracetamol,69,General
2025-08-26,Paracetamol,42,Emergency
2025-08-26,Paracetamol,33,ICU
2025-08-26,Amoxicillin,31,General
2025-08-26,Amoxicillin,56,Emergency
2025-08-26,Amoxicillin,12,ICU
2025-08-26,Insulin,102,General
2025-08-26,Insulin,73,Emergency
2025-08-26,Insulin,62,ICU
2025-08-26,Antibiotics,79,General
2025-08-26,Antibiotics,69,Emergency
2025-08-26,Antibiotics,78,ICU
2025-08-26,IV Fluids,93,General
2025-08-26,IV Fluids,134,Emergency
2025-08-26,IV Fluids,36,ICU
2025-08-27,Paracetamol,95,General
2025-08-27,Paracetamol,31,Emergency
2025-08-27,Paracetamol,36,ICU
2025-08-27,Amoxicillin,39,General
2025-08-27,Amoxicillin,59,Emergency
2025-08-27,Amoxicillin,68,ICU
2025-08-27,Insulin,89,General
2025-08-27,Insulin,95,Emergency
2025-08-27,Insulin,24,ICU
2025-08-27,Antibiotics,75,General
2025-08-27,Antibiotics,88,Emergency
2025-08-27,Antibiotics,16,ICU
2025-08-27,IV Fluids,101,General
2025-08-27,IV Fluids,129,Emergency
2025-08-27,IV Fluids,30,ICU
2025-08-28,Paracetamol,50,General
2025-08-28,Paracetamol,68,Emergency
2025-08-28,Paracetamol,64,ICU
2025-08-28,Amoxicillin,75,General
2025-08-28,Amoxicillin,93,Emergency
2025-08-28,Amoxicillin,23,ICU
2025-08-28,Insulin,51,General
2025-08-28,Insulin,75,Emergency
2025-08-28,Insulin,96,ICU
2025-08-28,Antibiotics,92,General
2025-08-28,Antibiotics,40,Emergency
2025-08-28,Antibiotics,19,ICU
2025-08-28,IV Fluids,16,General
2025-08-28,IV Fluids,92,Emergency
2025-08-28,IV Fluids,53,ICU
2025-08-29,Paracetamol,89,General
2025-08-29,Paracetamol,82,Emergency
2025-08-29,Paracetamol,53,ICU
2025-08-29,Amoxicillin,35,General
2025-08-29,Amoxicillin,91,Emergency
2025-08-29,Amoxicillin,65,ICU
2025-08-29,Insulin,49,General
2025-08-29,Insulin,99,Emergency
2025-08-29,Insulin,84,ICU
2025-08-29,Antibiotics,61,General
2025-08-29,Antibiotics,79,Emergency
2025-08-29,Antibiotics,27,ICU
2025-08-29,IV Fluids,64,General
2025-08-29,IV Fluids,74,Emergency
2025-08-29,IV Fluids,43,ICU
2025-08-30,Paracetamol,14,General
2025-08-30,Paracetamol,11,Emergency
2025-08-30,Paracetamol,17,ICU
2025-08-30,Amoxicillin,32,General
2025-08-30,Amoxicillin,53,Emergency
2025-08-30,Amoxicillin,84,ICU
2025-08-30,Insulin,59,General
2025-08-30,Insulin,70,Emergency
2025-08-30,Insulin,23,ICU
2025-08-30,Antibiotics,64,General
2025-08-30,Antibiotics,78,Emergency
2025-08-30,Antibiotics,95,ICU
2025-08-30,IV Fluids,20,General
2025-08-30,IV Fluids,129,Emergency
2025-08-30,IV Fluids,87,ICU
2025-08-31,Paracetamol,57,General
2025-08-31,Paracetamol,81,Emergency
2025-08-31,Paracetamol,75,ICU
2025-08-31,Amoxicillin,42,General
2025-08-31,Amoxicillin,58,Emergency
2025-08-31,Amoxicillin,27,ICU
2025-08-31,Insulin,63,General
2025-08-31,Insulin,27,Emergency
2025-08-31,Insulin,22,ICU
2025-08-31,Antibiotics,26,General
2025-08-31,Antibiotics,20,Emergency
2025-08-31,Antibiotics,75,ICU
2025-08-31,IV Fluids,18,General
2025-08-31,IV Fluids,83,Emergency
2025-08-31,IV Fluids,83,ICU
2025-09-01,Paracetamol,40,General
2025-09-01,Paracetamol,51,Emergency
2025-09-01,Paracetamol,41,ICU
2025-09-01,Amoxicillin,25,General
2025-09-01,Amoxicillin,80,Emergency
2025-09-01,Amoxicillin,100,ICU
2025-09-01,Insulin,39,General
2025-09-01,Insulin,14,Emergency
2025-09-01,Insulin,51,ICU
2025-09-01,Antibiotics,78,General
