date,department,revenue,expenses,net_revenue
2025-08-23,Cardiology,77672,54351,23321
2025-08-23,Neurology,48775,32927,15848
2025-08-23,Orthopedics,80942,53147,27795
2025-08-23,General,26177,16699,9478
2025-08-23,Emergency,149012,106899,42113
2025-08-24,Cardiology,67175,40312,26863
2025-08-24,Neurology,39987,27100,12887
2025-08-24,Orthopedics,37583,29888,7695
2025-08-24,General,48820,29928,18892
2025-08-24,Emergency,187823,133928,53895
2025-08-25,Cardiology,54301,32650,21651
2025-08-25,Neurology,144737,114195,30542
2025-08-25,Orthopedics,135137,92960,42177
2025-08-25,General,147607,99369,48238
2025-08-25,Emergency,118423,77544,40879
2025-08-26,Cardiology,82197,52074,30123
2025-08-26,Neurology,130369,98311,32058
2025-08-26,Orthopedics,71624,54839,16785
2025-08-26,General,121863,84601,37262
2025-08-26,Emergency,157290,99689,57601
2025-08-27,Cardiology,100281,75221,25060
2025-08-27,Neurology,133436,99223,34213
2025-08-27,Orthopedics,88481,67862,20619
2025-08-27,General,118450,84857,33593
2025-08-27,Emergency,163476,127378,36098
2025-08-28,Cardiology,130814,99793,31021
2025-08-28,Neurology,71591,44367,27224
2025-08-28,Orthopedics,71363,46450,24913
2025-08-28,General,125897,82060,43837
2025-08-28,Emergency,123242,83449,39793
2025-08-29,Cardiology,129805,95417,34388
2025-08-29,Neurology,116819,81755,35064
2025-08-29,Orthopedics,155410,118057,37353
2025-08-29,General,62794,38530,24264
2025-08-29,Emergency,178854,139596,39258
2025-08-30,Cardiology,74209,58951,15258
2025-08-30,Neurology,32505,23272,9233
2025-08-30,Orthopedics,32927,22655,10272
2025-08-30,General,67278,52249,15029
2025-08-30,Emergency,122667,78939,43728
2025-08-31,Cardiology,77635,53141,24494
2025-08-31,Neurology,66655,44012,22643
2025-08-31,Orthopedics,47068,34406,12662
2025-08-31,General,74624,44809,29815
2025-08-31,Emergency,75670,53193,22477
2025-09-01,Cardiology,105816,81026,24790
2025-09-01,Neurology,44541,35599,8942
2025-09-01,Orthopedics,133831,101165,32666
2025-09-01,General,100846,71616,29230
2025-09-01,Emergency,139434,94741,44693
2025-09-02,Cardiology,149470,104144,45326
2025-09-02,Neurology,115753,71739,44014
2025-09-02,Orthopedics,128786,79768,49018
2025-09-02,General,127402,96127,31275
2025-09-02,Emergency,88412,66866,21546
2025-09-03,Cardiology,91616,59889,31727
2025-09-03,Neurology,43782,27291,16491
2025-09-03,Orthopedics,70016,43406,26610
2025-09-03,General,131129,80278,50851
2025-09-03,Emergency,109763,71969,37794
2025-09-04,Cardiology,143200,113556,29644
2025-09-04,Neurology,72029,49320,22709
2025-09-04,Orthopedics,66816,53407,13409
2025-09-04,General,59945,36344,23601
2025-09-04,Emergency,165085,120280,44805
2025-09-05,Cardiology,93951,65068,28883
2025-09-05,Neurology,147781,98763,49018
2025-09-05,Orthopedics,67905,50843,17062
2025-09-05,General,67422,50840,16582
